Customer/ID,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score,FM_avg,Segment
1933.0,0,30,1794.73,5,5,5,555,15,5,Champions
735.0,0,43,3425.49,5,5,5,555,15,5,Champions
1479.0,0,10,1167.31,5,5,5,555,15,5,Champions
106.0,0,29,1661.51,5,5,5,555,15,5,Champions
7118.0,0,78,2465.588424242424,5,5,5,555,15,5,Champions
7419.0,0,31,3405.66,5,5,5,555,15,5,Champions
7679.0,0,14,1604.69,5,5,5,555,15,5,Champions
1594.0,0,14,1601.05,5,5,5,555,15,5,Champions
116.0,0,43,4961.31,5,5,5,555,15,5,Champions
345.0,0,102,7139.91,5,5,5,555,15,5,Champions
849.0,0,44,1328.73,5,5,5,555,15,5,Champions
269.0,5,12,1563.48,5,5,5,555,15,5,Champions
6401.0,5,83,1310.51,5,5,5,555,15,5,Champions
1220.0,0,27,1969.31,5,5,5,555,15,5,Champions
6369.0,1,27,1953.75,5,5,5,555,15,5,Champions
6434.0,2,21,2821.82,5,5,5,555,15,5,Champions
9154.0,0,13,1559.19,5,5,5,555,15,5,Champions
48.0,1,113,4407.4975,5,5,5,555,15,5,Champions
9474.0,1,90,2897.04,5,5,5,555,15,5,Champions
1394.0,5,67,2446.15,5,5,5,555,15,5,Champions
6132.0,5,13,1215.79,5,5,5,555,15,5,Champions
1896.0,2,28,2977.04,5,5,5,555,15,5,Champions
9846.0,2,24,3788.15,5,5,5,555,15,5,Champions
6119.0,2,24,3280.8113953488373,5,5,5,555,15,5,Champions
244.0,2,110,2427.3799567249107,5,5,5,555,15,5,Champions
492.0,1,62,2730.33,5,5,5,555,15,5,Champions
1871.0,1,66,3058.5,5,5,5,555,15,5,Champions
52.0,1,30,2760.37,5,5,5,555,15,5,Champions
1462.0,5,11,1321.8,5,5,5,555,15,5,Champions
586.0,5,14,1399.34,5,5,5,555,15,5,Champions
1857.0,5,24,2495.450787719088,5,5,5,555,15,5,Champions
754.0,5,21,1863.37,5,5,5,555,15,5,Champions
1080.0,5,43,6272.81,5,5,5,555,15,5,Champions
1657.0,5,49,4651.63,5,5,5,555,15,5,Champions
506.0,6,34,3963.97,5,5,5,555,15,5,Champions
430.0,6,18,1645.03,5,5,5,555,15,5,Champions
8858.0,5,31,4112.633615675165,5,5,5,555,15,5,Champions
49.0,2,70,5289.3,5,5,5,555,15,5,Champions
7815.0,2,10,2131.865075314549,5,5,5,555,15,5,Champions
1111.0,6,13,1180.6,5,5,5,555,15,5,Champions
1606.0,6,13,1556.36,5,5,5,555,15,5,Champions
393.0,5,26,1287.456590909091,5,5,5,555,15,5,Champions
6370.0,5,24,1925.967534374973,5,5,5,555,15,5,Champions
264.0,5,23,1282.11,5,5,5,555,15,5,Champions
66.0,5,41,1290.74,5,5,5,555,15,5,Champions
325.0,6,66,1777.89,5,5,5,555,15,5,Champions
318.0,6,30,1358.94,5,5,5,555,15,5,Champions
6464.0,6,11,2337.88,5,5,5,555,15,5,Champions
1239.0,6,13,2145.3,5,5,5,555,15,5,Champions
6666.0,6,58,7877.103800525889,5,5,5,555,15,5,Champions
6673.0,6,40,3289.47,5,5,5,555,15,5,Champions
1255.0,6,27,2222.5,5,5,5,555,15,5,Champions
516.0,4,46,2214.76,5,5,5,555,15,5,Champions
1712.0,5,52,3144.44,5,5,5,555,15,5,Champions
119.0,4,69,3292.678163361664,5,5,5,555,15,5,Champions
6518.0,4,49,3815.443615675165,5,5,5,555,15,5,Champions
332.0,2,68,6149.72,5,5,5,555,15,5,Champions
9152.0,2,11,1744.1654938271606,5,5,5,555,15,5,Champions
1541.0,2,31,2775.75,5,5,5,555,15,5,Champions
1682.0,3,22,2393.135407034817,5,5,5,555,15,5,Champions
120.0,2,59,9137.325624413146,5,5,5,555,15,5,Champions
9099.0,4,11,1594.08,5,5,5,555,15,5,Champions
1342.0,4,46,2057.8,5,5,5,555,15,5,Champions
1403.0,4,26,2346.25,5,5,5,555,15,5,Champions
50.0,4,89,3295.58,5,5,5,555,15,5,Champions
71.0,6,38,1903.16,5,5,5,555,15,5,Champions
1653.0,6,24,4279.31,5,5,5,555,15,5,Champions
1157.0,6,16,2141.08,5,5,5,555,15,5,Champions
1575.0,6,31,1959.84,5,5,5,555,15,5,Champions
1680.0,6,26,2127.06,5,5,5,555,15,5,Champions
7805.0,6,10,1859.0936156751648,5,5,5,555,15,5,Champions
1480.0,4,101,5875.63,5,5,5,555,15,5,Champions
836.0,6,22,1826.21988379329,5,5,5,555,15,5,Champions
1401.0,3,55,2021.2,5,5,5,555,15,5,Champions
1685.0,3,61,5979.51,5,5,5,555,15,5,Champions
592.0,2,25,1612.83,5,5,5,555,15,5,Champions
1050.0,2,31,2097.51,5,5,5,555,15,5,Champions
167.0,2,25,3866.863138949744,5,5,5,555,15,5,Champions
306.0,2,76,9083.704549690094,5,5,5,555,15,5,Champions
1752.0,2,25,2799.56,5,5,5,555,15,5,Champions
672.0,6,84,2097.21,5,5,5,555,15,5,Champions
173.0,6,16,1691.02,5,5,5,555,15,5,Champions
263.0,6,14,1262.52,5,5,5,555,15,5,Champions
6121.0,6,32,2006.84,5,5,5,555,15,5,Champions
6130.0,6,64,1717.47,5,5,5,555,15,5,Champions
8467.0,6,22,1838.5543177387915,5,5,5,555,15,5,Champions
196.0,4,60,3937.67,5,5,5,555,15,5,Champions
462.0,4,24,1184.95,5,5,5,555,15,5,Champions
9457.0,6,10,1388.36,5,5,5,555,15,5,Champions
8756.0,2,57,5481.583615675166,5,5,5,555,15,5,Champions
7331.0,2,7,1365.09,5,5,5,555,15,5,Champions
9028.0,3,10,1801.29,5,5,5,555,15,5,Champions
8876.0,3,19,1757.21,5,5,5,555,15,5,Champions
7312.0,3,14,1373.01,5,5,5,555,15,5,Champions
6263.0,3,20,4998.09,5,5,5,555,15,5,Champions
751.0,3,45,1622.78,5,5,5,555,15,5,Champions
534.0,3,11,1310.3,5,5,5,555,15,5,Champions
1445.0,3,70,5185.01,5,5,5,555,15,5,Champions
1292.0,3,14,1177.874969442168,5,5,5,555,15,5,Champions
857.0,3,51,1418.64,5,5,5,555,15,5,Champions
75.0,3,80,5254.42,5,5,5,555,15,5,Champions
1749.0,3,72,4767.521475307419,5,5,5,555,15,5,Champions
10219.0,3,14,1648.1,5,5,5,555,15,5,Champions
162.0,2,43,4422.159187695618,5,5,5,555,15,5,Champions
6106.0,4,58,3293.83,5,5,5,555,15,5,Champions
6745.0,4,15,1479.8154938271605,5,5,5,555,15,5,Champions
9967.0,4,20,4206.75,5,5,5,555,15,5,Champions
1636.0,4,30,1739.0084242424243,5,5,5,555,15,5,Champions
750.0,4,12,1843.8160843537412,5,5,5,555,15,5,Champions
7645.0,4,12,2669.4436156751653,5,5,5,555,15,5,Champions
6645.0,4,33,1200.48,5,5,5,555,15,5,Champions
1861.0,4,57,2688.64,5,5,5,555,15,5,Champions
1824.0,4,100,2022.13,5,5,5,555,15,5,Champions
7466.0,4,12,1506.78,5,5,5,555,15,5,Champions
6217.0,3,214,1565.65,5,5,5,555,15,5,Champions
1707.0,3,101,20760.24,5,5,5,555,15,5,Champions
945.0,4,65,7338.9,5,5,5,555,15,5,Champions
7073.0,4,37,1270.98,5,5,5,555,15,5,Champions
889.0,4,44,5279.93,5,5,5,555,15,5,Champions
161.0,3,67,10729.52,5,5,5,555,15,5,Champions
7316.0,3,45,3143.79,5,5,5,555,15,5,Champions
1699.0,0,54,2792.84,5,5,5,555,15,5,Champions
357.0,1,40,3411.9,5,5,5,555,15,5,Champions
7157.0,1,55,1816.48,5,5,5,555,15,5,Champions
1228.0,1,75,4247.6,5,5,5,555,15,5,Champions
795.0,1,52,2302.729230769231,5,5,5,555,15,5,Champions
513.0,0,32,1147.69,5,5,5,555,15,5,Champions
993.0,0,17,1167.89,5,5,5,555,15,5,Champions
10583.0,0,9,2050.76,5,5,5,555,15,5,Champions
6428.0,0,79,2690.31,5,5,5,555,15,5,Champions
4605.0,5,53,2022.21,5,5,5,555,15,5,Champions
1409.0,5,31,2113.51,5,5,5,555,15,5,Champions
1581.0,5,21,3280.52,5,5,5,555,15,5,Champions
595.0,5,28,1186.51,5,5,5,555,15,5,Champions
279.0,0,70,3765.72,5,5,5,555,15,5,Champions
4441.0,0,177,1515.3152589745794,5,5,5,555,15,5,Champions
6150.0,0,63,1622.4272313503304,5,5,5,555,15,5,Champions
6236.0,0,22,1310.89,5,5,5,555,15,5,Champions
6240.0,0,34,5773.250670356415,5,5,5,555,15,5,Champions
245.0,0,24,1365.06,5,5,5,555,15,5,Champions
518.0,0,46,1245.07,5,5,5,555,15,5,Champions
1715.0,0,86,1724.96,5,5,5,555,15,5,Champions
9585.0,0,30,1021.22,5,5,4,554,14,4,Champions
649.0,0,12,681.93,5,5,4,554,14,4,Champions
352.0,5,8,759.06,5,5,4,554,14,4,Champions
9496.0,5,9,824.46,5,5,4,554,14,4,Champions
7095.0,0,7,606.89,5,5,4,554,14,4,Champions
1457.0,14,25,2227.054453327035,4,5,5,455,14,5,Loyal Customers
1383.0,14,24,2482.32,4,5,5,455,14,5,Loyal Customers
8343.0,14,10,2401.2336156751653,4,5,5,455,14,5,Loyal Customers
6882.0,13,19,3611.924403394253,4,5,5,455,14,5,Loyal Customers
434.0,13,13,1425.86,4,5,5,455,14,5,Loyal Customers
1453.0,13,18,2518.92,4,5,5,455,14,5,Loyal Customers
229.0,11,17,1402.32,4,5,5,455,14,5,Loyal Customers
412.0,3,25,792.56,5,5,4,554,14,4,Champions
941.0,10,26,1838.29,4,5,5,455,14,5,Loyal Customers
7633.0,10,9,1297.71,4,5,5,455,14,5,Loyal Customers
6115.0,3,22,923.65,5,5,4,554,14,4,Champions
8913.0,3,10,569.96,5,5,4,554,14,4,Champions
8772.0,3,10,927.42,5,5,4,554,14,4,Champions
